State: [0, 0, 0] OptimalAction: [1, 0, 4]
State: [3, 2, 3] OptimalAction: [0, 0, 0]
State: [0, 3, 3] OptimalAction: [1, 0, 1]
State: [1, 3, 3] OptimalAction: [0, 0, 1]
State: [2, 3, 3] OptimalAction: [0, 0, 0]
State: [0, 4, 3] OptimalAction: [1, 0, 0]
State: [1, 4, 3] OptimalAction: [0, 0, 0]
State: [0, 5, 3] OptimalAction: [0, 0, 0]
State: [0, 0, 4] OptimalAction: [2, 2, 0]
State: [1, 0, 4] OptimalAction: [1, 2, 0]
State: [2, 0, 4] OptimalAction: [0, 2, 0]
State: [3, 0, 4] OptimalAction: [0, 1, 0]
State: [4, 0, 4] OptimalAction: [0, 0, 0]
State: [0, 1, 4] OptimalAction: [2, 1, 0]
State: [1, 1, 4] OptimalAction: [1, 1, 0]
State: [2, 1, 4] OptimalAction: [0, 1, 0]
State: [3, 1, 4] OptimalAction: [0, 0, 0]
State: [0, 2, 4] OptimalAction: [2, 0, 0]
State: [1, 2, 4] OptimalAction: [1, 0, 0]
State: [2, 2, 4] OptimalAction: [0, 0, 0]
State: [0, 3, 4] OptimalAction: [1, 0, 0]
State: [1, 3, 4] OptimalAction: [0, 0, 0]
State: [0, 4, 4] OptimalAction: [0, 0, 0]
State: [0, 0, 5] OptimalAction: [0, 0, 3]
State: [1, 0, 5] OptimalAction: [0, 1, 1]
State: [2, 0, 5] OptimalAction: [0, 0, 1]
State: [3, 0, 5] OptimalAction: [0, 0, 0]
State: [0, 1, 5] OptimalAction: [1, 0, 1]
State: [1, 1, 5] OptimalAction: [0, 0, 1]
State: [2, 1, 5] OptimalAction: [0, 0, 0]
State: [0, 2, 5] OptimalAction: [1, 0, 0]
State: [1, 2, 5] OptimalAction: [0, 0, 0]
State: [0, 3, 5] OptimalAction: [0, 0, 0]
State: [0, 0, 6] OptimalAction: [0, 0, 2]
State: [1, 0, 6] OptimalAction: [0, 1, 0]
State: [2, 0, 6] OptimalAction: [0, 0, 0]
State: [0, 1, 6] OptimalAction: [1, 0, 0]
State: [1, 1, 6] OptimalAction: [0, 0, 0]
State: [0, 2, 6] OptimalAction: [0, 0, 0]
State: [0, 0, 7] OptimalAction: [0, 0, 1]
State: [1, 0, 7] OptimalAction: [0, 0, 0]
State: [0, 1, 7] OptimalAction: [0, 0, 0]
State: [0, 0, 8] OptimalAction: [0, 0, 0]
